Date,Low,Open,Volume,High,Close,Adjusted Close
27-02-1998,17.375,17.375,50000,18.0,17.375,14.499489784240723
02-03-1998,17.0,17.25,75000,17.25,17.25,14.395173072814941
03-03-1998,16.75,17.125,35000,17.125,17.125,14.290863037109375
04-03-1998,15.5,15.75,60000,15.75,15.75,13.143424034118652
05-03-1998,16.125,16.125,400,16.125,16.125,13.456363677978516
06-03-1998,16.125,16.125,3600,16.375,16.125,13.456363677978516
09-03-1998,15.875,16.125,3200,16.5,15.875,13.247736930847168
10-03-1998,15.875,15.875,56800,16.875,16.25,13.560674667358398
11-03-1998,16.125,16.25,10400,16.5,16.25,13.560674667358398
12-03-1998,16.125,16.25,3800,16.375,16.375,13.664985656738281
13-03-1998,16.5,16.5,1000,16.5,16.5,13.769298553466797
16-03-1998,16.125,16.5,7700,16.5,16.125,13.456363677978516
17-03-1998,15.75,16.125,28000,16.125,15.875,13.247736930847168
18-03-1998,15.75,15.875,45700,16.125,16.125,13.456363677978516
19-03-1998,16.0,16.125,383600,17.375,17.125,14.290863037109375
20-03-1998,17.25,17.25,275600,17.75,17.75,14.812430381774902
23-03-1998,17.375,17.75,398600,19.0,18.875,15.751246452331543
24-03-1998,18.875,18.875,261800,19.875,19.75,16.48143196105957
25-03-1998,19.5,19.75,135600,20.125,19.875,16.585742950439453
26-03-1998,19.25,19.875,26300,19.875,19.625,16.377120971679688
27-03-1998,18.375,19.625,62200,19.75,19.25,16.064186096191406
30-03-1998,19.25,19.25,49500,19.875,19.875,16.585742950439453
31-03-1998,19.875,19.875,79000,20.25,20.125,16.79437255859375
01-04-1998,20.0,20.125,150100,20.625,20.5,17.107309341430664
02-04-1998,21.75,21.75,140500,23.375,23.25,19.402193069458008
03-04-1998,21.75,23.25,458700,26.125,24.75,20.65395164489746
06-04-1998,23.0,24.75,105300,26.0,24.0,20.02806854248047
07-04-1998,22.125,24.0,152800,24.0,22.125,18.463380813598633
08-04-1998,21.0,22.125,45100,23.0,22.5,18.776317596435547
09-04-1998,22.25,22.5,151400,23.0,23.0,19.193572998046875
13-04-1998,22.375,23.0,85900,23.25,22.625,18.88062858581543
14-04-1998,22.5,22.625,322900,23.0,22.75,18.984935760498047
15-04-1998,21.5,22.75,23100,22.875,21.75,18.150442123413086
16-04-1998,20.875,21.75,55400,21.75,21.25,17.733190536499023
17-04-1998,21.0,21.25,15100,21.625,21.625,18.046127319335938
20-04-1998,21.25,21.625,92900,22.125,22.125,18.463380813598633
21-04-1998,21.75,22.125,23100,22.125,22.125,18.463380813598633
22-04-1998,22.125,22.125,60900,23.625,23.0,19.193572998046875
23-04-1998,23.0,23.0,242300,23.5,23.5,19.610820770263672
24-04-1998,22.0,23.5,100900,23.625,22.0,18.35906982421875
27-04-1998,19.875,22.0,52200,22.5,20.875,17.42024803161621
28-04-1998,20.75,20.875,29100,21.875,21.5,17.941818237304688
29-04-1998,21.0,21.5,101300,22.5,22.5,18.776317596435547
30-04-1998,22.375,22.5,116300,23.25,23.0,19.193572998046875
01-05-1998,22.0,23.0,61000,23.125,22.125,18.463380813598633
04-05-1998,21.25,22.125,58400,22.25,21.625,18.046127319335938
05-05-1998,20.75,21.625,44000,21.75,21.25,17.733190536499023
06-05-1998,20.875,21.25,47300,22.0,22.0,18.35906982421875
07-05-1998,21.375,22.0,230900,22.125,21.375,17.83750343322754
08-05-1998,21.75,21.75,320700,22.75,22.625,18.88062858581543
11-05-1998,22.25,22.625,375200,22.75,22.375,18.672006607055664
12-05-1998,22.0,22.375,333300,22.625,22.0,18.35906982421875
13-05-1998,22.125,22.125,88100,22.625,22.375,18.672006607055664
14-05-1998,22.0,22.375,35600,22.5,22.5,18.776317596435547
15-05-1998,21.5,22.5,69200,22.5,22.0,18.35906982421875
18-05-1998,21.0,22.0,53200,22.125,21.5,17.941818237304688
19-05-1998,21.5,21.5,21000,22.0,22.0,18.35906982421875
20-05-1998,21.0,22.0,14100,22.0,21.0,17.524568557739258
21-05-1998,19.5,21.0,116400,21.125,21.125,17.628875732421875
22-05-1998,20.25,20.75,45100,20.75,20.625,17.211626052856445
26-05-1998,19.125,20.625,119500,21.0,19.5,16.27280616760254
27-05-1998,18.75,19.5,91100,19.5,19.25,16.064186096191406
28-05-1998,18.75,19.25,163600,20.5,20.5,17.107309341430664
29-05-1998,20.5,20.5,121900,22.5,22.5,18.776317596435547
01-06-1998,22.0,22.5,258500,22.5,22.125,18.463380813598633
02-06-1998,22.125,22.125,123400,22.5,22.375,18.672006607055664
03-06-1998,20.75,22.375,180600,22.5,20.75,17.315933227539062
04-06-1998,20.0,20.75,263200,21.0,20.75,17.315933227539062
05-06-1998,21.0,21.0,290100,23.0,22.875,19.08925437927246
08-06-1998,22.5,23.25,2718000,23.625,23.0,19.193572998046875
09-06-1998,22.0,23.0,604900,23.0,22.375,18.672006607055664
10-06-1998,22.5,22.5,149300,23.125,22.875,19.08925437927246
11-06-1998,22.5625,22.875,697400,23.0625,23.0,19.193572998046875
12-06-1998,22.375,23.0,782000,23.0,22.5625,18.828472137451172
15-06-1998,21.875,22.9375,165900,22.9375,21.875,18.25474739074707
16-06-1998,21.75,21.9375,95000,22.0,21.75,18.150442123413086
17-06-1998,21.5,21.9375,57400,21.9375,21.9375,18.30691146850586
18-06-1998,21.375,21.9375,588700,21.9375,21.5,17.941818237304688
19-06-1998,21.0625,21.125,698100,21.375,21.1875,17.681028366088867
22-06-1998,20.625,21.0,159500,21.375,21.125,17.628875732421875
23-06-1998,21.625,21.875,234000,22.75,22.5,18.776317596435547
24-06-1998,22.5,22.5,275900,23.0625,23.0,19.193572998046875
25-06-1998,22.6875,23.0,223500,23.625,23.0,19.193572998046875
26-06-1998,23.125,23.25,115800,23.625,23.375,19.50650978088379
29-06-1998,21.625,23.125,188900,23.1875,22.875,19.08925437927246
30-06-1998,22.6875,22.9375,566300,24.9375,24.9375,20.81041717529297
01-07-1998,24.375,25.0,449600,25.625,24.6875,20.601791381835938
02-07-1998,24.0,24.0,5141900,24.6875,24.0,20.02806854248047
06-07-1998,24.1875,24.25,991100,25.3125,25.25,21.071199417114258
07-07-1998,25.625,26.0625,1096000,27.0,25.875,21.59276008605957
08-07-1998,26.125,26.125,431200,27.25,26.5,22.11432647705078
09-07-1998,25.625,26.5,659300,27.125,25.9375,21.644920349121094
10-07-1998,25.75,26.125,334700,26.625,26.25,21.90570068359375
13-07-1998,26.6875,26.9375,429600,27.3125,27.25,22.74020767211914
14-07-1998,26.0,27.0,509200,27.375,26.125,21.801387786865234
15-07-1998,26.25,26.625,225800,27.0,26.9375,22.47942352294922
16-07-1998,26.5,27.375,233300,27.375,26.9375,22.47942352294922
17-07-1998,26.375,26.875,479300,27.4375,27.0,22.531578063964844
20-07-1998,26.5625,26.75,244800,27.4375,27.0625,22.5837345123291
