Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,5.453125,0.0,115200,5.65625,5.53125,1.730541467666626
22-02-1973,5.4375,0.0,178400,5.515625,5.4375,1.7012089490890503
23-02-1973,5.40625,0.0,75200,5.5,5.46875,1.7109878063201904
26-02-1973,5.265625,0.0,157600,5.421875,5.375,1.6816561222076416
27-02-1973,4.84375,0.0,248800,5.40625,4.859375,1.520334243774414
28-02-1973,4.75,0.0,460800,5.03125,5.0,1.5643304586410522
01-03-1973,4.8125,0.0,287200,5.1875,4.8125,1.505669116973877
02-03-1973,4.5625,0.0,338400,4.90625,4.90625,1.5349992513656616
05-03-1973,4.90625,0.0,392800,5.09375,5.078125,1.588773250579834
06-03-1973,5.09375,0.0,175200,5.21875,5.21875,1.6327697038650513
07-03-1973,5.25,0.0,280800,5.359375,5.296875,1.6572123765945435
08-03-1973,5.328125,0.0,185600,5.40625,5.375,1.6816561222076416
09-03-1973,5.3125,0.0,331200,5.390625,5.375,1.6816561222076416
12-03-1973,5.3125,0.0,108000,5.4375,5.359375,1.6767674684524536
13-03-1973,5.328125,0.0,186400,5.5,5.40625,1.6914336681365967
14-03-1973,5.5,0.0,115200,5.609375,5.546875,1.7354300022125244
15-03-1973,5.5,0.0,63200,5.609375,5.5,1.7207629680633545
16-03-1973,5.375,0.0,200800,5.53125,5.515625,1.7256523370742798
19-03-1973,5.34375,0.0,100000,5.515625,5.375,1.6816561222076416
20-03-1973,5.21875,0.0,131200,5.375,5.265625,1.6474363803863525
21-03-1973,4.890625,0.0,92800,5.3125,4.890625,1.5301108360290527
22-03-1973,4.875,0.0,111200,5.046875,5.0,1.5643304586410522
23-03-1973,4.921875,0.0,154400,5.03125,4.953125,1.5496654510498047
26-03-1973,5.0,0.0,88800,5.203125,5.203125,1.6278821229934692
27-03-1973,5.140625,0.0,130400,5.265625,5.140625,1.608327865600586
28-03-1973,5.0625,0.0,155200,5.15625,5.125,1.6034386157989502
29-03-1973,5.125,0.0,272000,5.21875,5.140625,1.608327865600586
30-03-1973,5.046875,0.0,103200,5.140625,5.109375,1.5985515117645264
02-04-1973,5.0,0.0,73600,5.109375,5.03125,1.5741080045700073
03-04-1973,4.90625,0.0,184800,5.03125,4.90625,1.5349992513656616
04-04-1973,4.828125,0.0,143200,4.90625,4.84375,1.515445351600647
05-04-1973,4.78125,0.0,66400,4.875,4.859375,1.520334243774414
06-04-1973,3.609375,0.0,49600,4.90625,4.90625,1.5349992513656616
09-04-1973,4.90625,0.0,94400,5.171875,5.171875,1.6181050539016724
10-04-1973,5.0625,0.0,96000,5.25,5.15625,1.6132168769836426
11-04-1973,5.03125,0.0,87200,5.171875,5.0625,1.583884358406067
12-04-1973,4.75,0.0,282400,5.078125,4.78125,1.4958915710449219
13-04-1973,4.625,0.0,164000,4.84375,4.625,1.4470056295394897
16-04-1973,4.28125,0.0,437600,4.625,4.328125,1.3541244268417358
17-04-1973,3.9375,0.0,1050400,4.234375,4.234375,1.3247922658920288
18-04-1973,4.25,0.0,316800,4.59375,4.5,1.429845929145813
19-04-1973,4.515625,0.0,110400,4.703125,4.703125,1.4943883419036865
23-04-1973,4.53125,0.0,181600,4.703125,4.625,1.4695640802383423
24-04-1973,4.5,0.0,180800,4.671875,4.5625,1.449706792831421
25-04-1973,4.15625,0.0,178400,4.46875,4.15625,1.3206228017807007
26-04-1973,4.09375,0.0,660000,4.4375,4.390625,1.395093560218811
27-04-1973,4.1875,0.0,150400,4.4375,4.28125,1.3603399991989136
30-04-1973,4.21875,0.0,164000,4.40625,4.375,1.390129566192627
01-05-1973,3.75,0.0,477600,4.375,3.828125,1.216362476348877
02-05-1973,3.0625,0.0,5872000,3.171875,3.09375,0.9830195307731628
03-05-1973,2.875,0.0,2609600,3.296875,3.125,0.9929494261741638
04-05-1973,3.0625,0.0,1179200,3.21875,3.078125,0.9780545830726624
07-05-1973,3.03125,0.0,659200,3.171875,3.125,0.9929494261741638
08-05-1973,3.078125,0.0,340000,3.140625,3.125,0.9929494261741638
09-05-1973,3.09375,0.0,358400,3.1875,3.125,0.9929494261741638
10-05-1973,3.0625,0.0,220000,3.125,3.125,0.9929494261741638
11-05-1973,3.09375,0.0,91200,3.125,3.09375,0.9830195307731628
14-05-1973,2.765625,0.0,607200,3.09375,2.796875,0.8886903524398804
15-05-1973,2.5625,0.0,1154400,2.796875,2.796875,0.8886903524398804
16-05-1973,2.5625,0.0,434400,2.8125,2.625,0.8340773582458496
17-05-1973,2.3125,0.0,560000,2.59375,2.46875,0.7844295501708984
18-05-1973,2.328125,0.0,466400,2.453125,2.375,0.754641592502594
21-05-1973,2.3125,0.0,330400,2.40625,2.40625,0.7645710110664368
22-05-1973,2.40625,0.0,312800,2.53125,2.5,0.7943592071533203
23-05-1973,2.4375,0.0,914400,2.6875,2.65625,0.8440071940422058
24-05-1973,2.640625,0.0,448000,2.90625,2.90625,0.9234426617622375
