Date,Low,Open,Volume,High,Close,Adjusted Close
02-01-1970,6.40625,6.40625,73200,6.75,6.75,0.2627899646759033
05-01-1970,6.8125,6.8125,130800,7.03125,7.03125,0.2737395763397217
06-01-1970,6.8125,7.03125,312400,7.15625,6.9375,0.27008959650993347
07-01-1970,6.8125,6.90625,51600,6.90625,6.84375,0.26643961668014526
08-01-1970,6.8125,6.84375,79200,6.9375,6.84375,0.26643961668014526
09-01-1970,6.8125,6.84375,45600,6.90625,6.90625,0.26887303590774536
12-01-1970,6.84375,6.90625,51200,6.90625,6.875,0.2676563858985901
13-01-1970,6.71875,6.875,136800,6.875,6.71875,0.2615732252597809
14-01-1970,6.65625,6.71875,61600,6.78125,6.71875,0.2615732252597809
15-01-1970,6.5625,6.71875,85200,6.71875,6.5625,0.255490243434906
16-01-1970,6.5,6.5625,158000,6.59375,6.53125,0.2542732357978821
19-01-1970,6.5625,6.5625,56000,6.6875,6.6875,0.2603566348552704
20-01-1970,6.625,6.6875,93600,6.84375,6.84375,0.26643961668014526
21-01-1970,6.71875,6.8125,86800,6.8125,6.71875,0.2615732252597809
22-01-1970,6.65625,6.71875,70000,6.71875,6.71875,0.2615732252597809
23-01-1970,6.65625,6.71875,60000,6.78125,6.75,0.2627899646759033
26-01-1970,6.75,6.75,59600,6.8125,6.8125,0.2652231752872467
27-01-1970,6.75,6.8125,74000,6.90625,6.78125,0.26400649547576904
28-01-1970,6.65625,6.78125,53200,6.8125,6.6875,0.2603566348552704
29-01-1970,6.625,6.6875,53600,6.8125,6.8125,0.2652231752872467
30-01-1970,6.71875,6.8125,44400,6.8125,6.75,0.2627899646759033
02-02-1970,6.65625,6.75,50800,6.8125,6.75,0.2638944089412689
03-02-1970,6.65625,6.75,33200,6.78125,6.6875,0.26145073771476746
04-02-1970,6.6875,6.6875,35200,6.75,6.75,0.2638944089412689
05-02-1970,6.625,6.71875,56400,6.71875,6.6875,0.26145073771476746
06-02-1970,6.625,6.6875,37600,6.71875,6.71875,0.26267263293266296
09-02-1970,6.65625,6.71875,59200,6.71875,6.71875,0.26267263293266296
