Date,Low,Open,Volume,High,Close,Adjusted Close
17-11-1995,8.09375,8.125,35659200,8.71875,8.625,6.656589031219482
20-11-1995,8.1875,8.59375,8434000,8.8125,8.3125,6.415407657623291
21-11-1995,7.9375,8.25,6440000,8.28125,8.15625,6.294818878173828
22-11-1995,8.125,8.125,3480800,8.53125,8.40625,6.487762451171875
24-11-1995,8.4375,8.46875,1279200,8.71875,8.71875,6.728942394256592
27-11-1995,8.625,8.71875,2403200,8.90625,8.75,6.753060340881348
28-11-1995,8.5,8.75,1054800,8.78125,8.625,6.656589031219482
29-11-1995,8.5625,8.59375,1331200,8.96875,8.75,6.753060340881348
30-11-1995,8.8125,8.84375,2426000,9.1875,9.09375,7.018363952636719
01-12-1995,8.9375,9.09375,978400,9.125,9.0,6.946005344390869
04-12-1995,8.84375,9.03125,594000,9.09375,8.90625,6.873650550842285
05-12-1995,8.625,8.90625,1148800,8.90625,8.78125,6.777181148529053
06-12-1995,8.75,8.75,1216000,9.0,8.8125,6.801297187805176
07-12-1995,8.6875,8.875,641200,8.90625,8.75,6.753060340881348
08-12-1995,8.625,8.71875,668800,8.96875,8.96875,6.9218878746032715
11-12-1995,8.96875,9.0,660000,9.09375,9.09375,7.018363952636719
12-12-1995,8.71875,9.03125,971600,9.0625,8.75,6.753060340881348
13-12-1995,8.53125,8.8125,528400,8.8125,8.6875,6.704826354980469
14-12-1995,8.4375,8.71875,639200,8.71875,8.4375,6.511880397796631
15-12-1995,8.34375,8.5,1366400,8.5625,8.375,6.463644981384277
18-12-1995,8.25,8.375,741600,8.40625,8.28125,6.391291618347168
19-12-1995,8.21875,8.25,643600,8.53125,8.4375,6.511880397796631
20-12-1995,8.46875,8.46875,360400,8.6875,8.625,6.656589031219482
21-12-1995,8.5625,8.59375,301600,8.78125,8.6875,6.704826354980469
22-12-1995,8.625,8.71875,208400,8.75,8.75,6.753060340881348
26-12-1995,8.5,8.71875,240000,8.71875,8.53125,6.584232330322266
27-12-1995,8.625,8.625,351600,8.84375,8.84375,6.82541561126709
28-12-1995,8.78125,8.875,344400,8.90625,8.8125,6.801297187805176
29-12-1995,8.65625,8.78125,219200,8.84375,8.71875,6.728942394256592
02-01-1996,8.65625,8.71875,169200,8.78125,8.75,6.753060340881348
03-01-1996,8.65625,8.78125,682000,8.9375,8.71875,6.728942394256592
04-01-1996,8.53125,8.75,414800,8.8125,8.65625,6.680706024169922
05-01-1996,8.28125,8.53125,773600,8.59375,8.4375,6.511880397796631
08-01-1996,8.375,8.4375,48800,8.46875,8.46875,6.535998821258545
09-01-1996,8.375,8.5,864000,8.5,8.375,6.463644981384277
10-01-1996,8.125,8.28125,458400,8.375,8.28125,6.391291618347168
11-01-1996,8.3125,8.3125,477600,8.5625,8.46875,6.535998821258545
12-01-1996,8.40625,8.4375,338400,8.6875,8.6875,6.704826354980469
15-01-1996,8.625,8.6875,580800,8.75,8.65625,6.680706024169922
16-01-1996,8.21875,8.59375,512800,8.59375,8.4375,6.511880397796631
17-01-1996,8.125,8.3125,126400,8.375,8.375,6.463644981384277
