Date,Low,Open,Volume,High,Close,Adjusted Close
16-03-1999,22.5,22.5,4900,23.25,23.25,12.620902061462402
17-03-1999,23.25,23.25,3100,23.25,23.25,12.620902061462402
18-03-1999,23.25,23.25,100,23.25,23.25,12.620902061462402
19-03-1999,23.25,23.25,500,23.25,23.25,12.620902061462402
22-03-1999,23.25,23.25,0,23.25,23.25,12.620902061462402
23-03-1999,23.25,23.25,0,23.25,23.25,12.620902061462402
24-03-1999,23.0,24.25,2000,24.25,23.0,12.485188484191895
25-03-1999,23.0,23.0,0,23.0,23.0,12.485188484191895
26-03-1999,23.0,23.0,0,23.0,23.0,12.485188484191895
29-03-1999,23.0,23.0,0,23.0,23.0,12.485188484191895
30-03-1999,23.0,23.0,0,23.0,23.0,12.485188484191895
31-03-1999,23.0,23.0,2000,24.25,24.25,13.163732528686523
01-04-1999,24.25,24.25,0,24.25,24.25,13.163732528686523
05-04-1999,24.25,24.25,0,24.25,24.25,13.163732528686523
06-04-1999,24.25,24.25,0,24.25,24.25,13.163732528686523
07-04-1999,24.25,24.25,0,24.25,24.25,13.163732528686523
08-04-1999,24.25,24.25,0,24.25,24.25,13.163732528686523
09-04-1999,24.25,24.25,0,24.25,24.25,13.163732528686523
12-04-1999,21.0,21.0,700,21.0,21.0,11.399520874023438
13-04-1999,21.0,21.0,0,21.0,21.0,11.399520874023438
14-04-1999,23.0,23.0,1400,24.0,24.0,13.028020858764648
15-04-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
16-04-1999,24.5,25.0,200,25.0,24.5,13.299440383911133
19-04-1999,24.5,24.5,0,24.5,24.5,13.299440383911133
20-04-1999,22.0,25.0,200,25.0,22.0,11.942351341247559
21-04-1999,22.0,22.0,500,24.0,24.0,13.028020858764648
22-04-1999,24.0,24.0,100,24.0,24.0,13.028020858764648
23-04-1999,22.0,22.0,7700,23.5,23.5,12.756604194641113
26-04-1999,23.4375,24.0,2100,24.0,24.0,13.028020858764648
27-04-1999,23.0,24.0,5000,26.0,25.0,13.570855140686035
28-04-1999,25.0,26.5,700,26.5,25.0,13.570855140686035
29-04-1999,25.0,25.0,0,25.0,25.0,13.570855140686035
30-04-1999,25.0,25.0,0,25.0,25.0,13.570855140686035
03-05-1999,26.0,26.0,1200,26.0,26.0,14.113688468933105
04-05-1999,26.0,26.0,0,26.0,26.0,14.113688468933105
05-05-1999,26.0,26.0,0,26.0,26.0,14.113688468933105
06-05-1999,26.0,26.0,0,26.0,26.0,14.113688468933105
07-05-1999,26.0,26.0,0,26.0,26.0,14.113688468933105
10-05-1999,26.0,26.0,0,26.0,26.0,14.113688468933105
11-05-1999,26.0,26.0,0,26.0,26.0,14.113688468933105
12-05-1999,22.5,22.5,1400,24.0,24.0,13.028020858764648
13-05-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
14-05-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
17-05-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
18-05-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
19-05-1999,23.875,23.875,800,24.0,24.0,13.028020858764648
20-05-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
21-05-1999,24.0,24.0,400,24.0,24.0,13.028020858764648
24-05-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
25-05-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
26-05-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
27-05-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
28-05-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
01-06-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
02-06-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
03-06-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
04-06-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
07-06-1999,24.0,24.0,400,24.0,24.0,13.028020858764648
08-06-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
09-06-1999,24.0,24.0,0,24.0,24.0,13.028020858764648
10-06-1999,24.0,24.0,2000,25.0,25.0,13.570855140686035
11-06-1999,25.0,25.0,0,25.0,25.0,13.570855140686035
14-06-1999,25.0,25.0,0,25.0,25.0,13.570855140686035
15-06-1999,25.0,25.0,0,25.0,25.0,13.570855140686035
16-06-1999,25.0,25.0,0,25.0,25.0,13.570855140686035
17-06-1999,25.0,25.0,0,25.0,25.0,13.570855140686035
18-06-1999,25.0,25.0,0,25.0,25.0,13.570855140686035
21-06-1999,25.0,25.0,0,25.0,25.0,13.570855140686035
22-06-1999,25.0,25.0,0,25.0,25.0,13.570855140686035
23-06-1999,25.0,25.0,0,25.0,25.0,13.570855140686035
24-06-1999,22.75,22.75,400,24.0,24.0,13.028020858764648
