Date,Low,Open,Volume,High,Close,Adjusted Close
28-01-1994,20.75,21.0,719200,22.5,21.625,4.186738014221191
31-01-1994,21.125,21.5,86900,21.625,21.375,4.138336181640625
01-02-1994,21.125,21.25,56900,21.375,21.25,4.114134311676025
02-02-1994,21.25,21.25,43600,21.5,21.25,4.114134311676025
03-02-1994,21.25,21.25,42900,21.5,21.5,4.162536144256592
04-02-1994,21.125,21.25,56500,21.5,21.125,4.089933395385742
07-02-1994,21.125,21.125,40900,21.5,21.375,4.138336181640625
08-02-1994,21.5,21.5,205400,22.25,22.0,4.259338855743408
09-02-1994,22.125,22.125,76900,22.75,22.25,4.307738780975342
10-02-1994,22.25,22.25,42500,23.0,23.0,4.452943801879883
11-02-1994,22.875,22.875,49400,23.875,23.5,4.549746990203857
14-02-1994,23.25,23.25,97400,24.5,23.875,4.62235164642334
15-02-1994,23.125,23.75,62100,24.0,23.125,4.477144718170166
16-02-1994,23.125,23.125,26700,23.625,23.375,4.525546550750732
17-02-1994,23.625,23.625,8900,24.125,24.125,4.670750617980957
18-02-1994,24.0,24.125,27900,24.375,24.25,4.694952011108398
22-02-1994,23.75,24.0,25000,24.125,23.75,4.598148345947266
23-02-1994,23.25,24.0,48100,24.0,23.375,4.525546550750732
24-02-1994,23.0,23.25,48500,23.875,23.25,4.501346588134766
25-02-1994,22.75,23.0,36000,23.0,22.875,4.428743839263916
28-02-1994,22.5,23.125,14500,23.125,22.625,4.380341529846191
01-03-1994,22.5,22.625,74900,23.25,23.0,4.452943801879883
02-03-1994,23.0,23.25,21700,23.75,23.5,4.549746990203857
03-03-1994,23.0,23.5,8600,23.5,23.0,4.452943801879883
04-03-1994,22.75,23.25,5000,23.25,23.0,4.452943801879883
07-03-1994,22.75,22.75,13200,23.125,22.875,4.428743839263916
08-03-1994,22.25,22.75,9800,22.75,22.625,4.380341529846191
09-03-1994,22.5,22.625,38700,22.625,22.5,4.356141567230225
10-03-1994,22.25,22.375,28800,22.5,22.5,4.356141567230225
11-03-1994,22.0,22.125,5800,22.125,22.0,4.259338855743408
14-03-1994,22.0,22.0,59900,23.75,23.25,4.501346588134766
15-03-1994,22.875,23.5,4400,23.5,22.875,4.428743839263916
16-03-1994,23.0,23.0,10800,23.5,23.375,4.525546550750732
17-03-1994,23.25,23.25,18900,23.5,23.5,4.549746990203857
18-03-1994,23.25,23.625,7400,23.625,23.25,4.501346588134766
21-03-1994,23.125,23.25,4100,23.25,23.25,4.501346588134766
22-03-1994,23.125,23.125,33600,23.625,23.25,4.501346588134766
23-03-1994,23.25,23.375,1900,23.5,23.375,4.525546550750732
24-03-1994,23.5,23.5,18400,24.0,24.0,4.646550178527832
25-03-1994,23.75,23.75,5300,24.0,23.75,4.598148345947266
28-03-1994,23.25,23.625,11500,23.625,23.5,4.549746990203857
29-03-1994,23.25,23.875,4200,23.875,23.25,4.501346588134766
30-03-1994,23.0,23.125,20600,23.125,23.125,4.477144718170166
31-03-1994,23.0,23.0,14200,23.125,23.125,4.477144718170166
04-04-1994,22.75,23.0,29900,23.125,22.75,4.404542446136475
05-04-1994,22.75,23.0,1500,23.125,23.125,4.477144718170166
06-04-1994,23.0,23.125,5100,23.125,23.125,4.477144718170166
07-04-1994,23.25,23.25,3800,23.5,23.375,4.525546550750732
08-04-1994,23.125,23.5,9900,23.5,23.375,4.525546550750732
11-04-1994,23.375,23.375,900,23.5,23.5,4.549746990203857
12-04-1994,23.25,23.25,1600,23.25,23.25,4.501346588134766
13-04-1994,23.25,23.5,7100,23.5,23.25,4.501346588134766
14-04-1994,23.25,23.375,1300,23.375,23.375,4.525546550750732
15-04-1994,23.25,23.375,10800,23.75,23.75,4.598148345947266
18-04-1994,23.375,23.5,9900,23.625,23.375,4.525546550750732
19-04-1994,23.125,23.25,40200,23.375,23.125,4.477144718170166
20-04-1994,22.875,23.125,22400,23.125,22.875,4.428743839263916
21-04-1994,23.125,23.125,4400,23.375,23.375,4.525546550750732
22-04-1994,23.125,23.25,72100,24.0,24.0,4.646550178527832
25-04-1994,24.0,24.25,19200,24.375,24.0,4.646550178527832
26-04-1994,23.875,23.875,1100,24.0,24.0,4.697438716888428
28-04-1994,24.0,24.0,4000,24.5,24.375,4.770837783813477
29-04-1994,24.375,24.375,6200,24.625,24.375,4.770837783813477
02-05-1994,24.375,24.625,5700,24.625,24.625,4.819769859313965
03-05-1994,24.5,24.5,2900,24.75,24.5,4.795301914215088
04-05-1994,24.125,24.625,10600,24.75,24.75,4.844236373901367
05-05-1994,25.0,25.0,19800,25.75,25.5,4.991028308868408
06-05-1994,25.125,25.25,8600,25.25,25.25,4.942098617553711
09-05-1994,25.125,25.375,10900,25.375,25.125,4.917630672454834
10-05-1994,25.125,25.375,19000,25.5,25.375,4.966563701629639
11-05-1994,25.375,25.375,5000,25.75,25.625,5.015497207641602
12-05-1994,25.5,25.75,10100,25.75,25.5,4.991028308868408
