Date,Low,Open,Volume,High,Close,Adjusted Close
17-02-1994,24.5,25.5,4478600,25.875,24.625,16.717864990234375
18-02-1994,24.25,24.75,777900,25.0,24.625,16.717864990234375
22-02-1994,24.0,24.25,361900,24.5,24.375,16.548154830932617
23-02-1994,23.25,24.375,284500,24.5,23.25,15.784379959106445
24-02-1994,22.75,23.125,494600,23.25,23.0,15.614659309387207
25-02-1994,23.0,23.0,102000,23.875,23.75,16.123830795288086
28-02-1994,23.75,23.875,115200,24.0,23.875,16.20870018005371
01-03-1994,23.125,23.75,246600,24.0,23.25,15.784379959106445
02-03-1994,22.625,22.75,355900,22.875,22.75,15.444934844970703
03-03-1994,22.75,22.75,51500,23.0,22.875,15.529791831970215
04-03-1994,22.75,23.0,145500,23.375,23.125,15.699519157409668
07-03-1994,23.0,23.125,102200,23.25,23.0,15.614659309387207
08-03-1994,22.875,23.0,34700,23.125,23.0,15.614659309387207
09-03-1994,22.875,23.125,101100,23.125,22.875,15.529791831970215
10-03-1994,22.125,22.875,220400,23.0,22.25,15.105488777160645
11-03-1994,22.0,22.125,42100,22.375,22.375,15.190346717834473
14-03-1994,22.125,22.25,11900,22.5,22.25,15.105488777160645
15-03-1994,22.5,22.75,128500,23.0,22.75,15.444934844970703
16-03-1994,22.5,22.75,93800,22.875,22.75,15.444934844970703
17-03-1994,22.5,22.875,43700,22.875,22.625,15.360075950622559
18-03-1994,22.5,22.5,125000,22.875,22.875,15.529791831970215
21-03-1994,22.75,22.75,81100,23.125,23.125,15.699519157409668
22-03-1994,23.0,23.0,91800,23.625,23.5,15.954107284545898
23-03-1994,24.25,24.25,332700,24.875,24.25,16.46327781677246
24-03-1994,24.0,24.375,113300,24.375,24.0,16.293556213378906
25-03-1994,24.0,24.0,54700,24.25,24.0,16.293556213378906
28-03-1994,23.75,24.25,67900,24.25,24.0,16.293556213378906
29-03-1994,22.5,23.875,174400,24.0,22.5,15.275199890136719
30-03-1994,22.0,22.25,198000,22.25,22.125,15.02061939239502
31-03-1994,21.5,22.25,201000,22.375,22.0,14.935760498046875
04-04-1994,21.0,21.625,206600,21.625,21.5,14.596309661865234
05-04-1994,21.5,21.5,40500,22.75,22.75,15.444934844970703
06-04-1994,22.5,22.75,31700,22.875,22.875,15.529791831970215
07-04-1994,22.625,22.875,14500,22.875,22.875,15.529791831970215
08-04-1994,22.125,22.875,29900,22.875,22.5,15.275199890136719
11-04-1994,22.25,22.75,28900,22.75,22.625,15.360075950622559
12-04-1994,22.0,22.5,56200,22.5,22.125,15.02061939239502
13-04-1994,21.25,22.25,48100,22.375,21.75,14.766036987304688
14-04-1994,21.25,21.5,81800,21.5,21.375,14.511436462402344
15-04-1994,21.25,21.375,23400,21.375,21.375,14.511436462402344
18-04-1994,20.5,21.375,119100,21.375,20.5,13.917409896850586
19-04-1994,20.0,20.5,23100,20.5,20.125,13.662818908691406
20-04-1994,19.5,20.125,72900,20.125,19.75,13.408245086669922
21-04-1994,19.5,19.625,67100,19.875,19.75,13.408245086669922
22-04-1994,19.5,19.5,8000,19.75,19.75,13.408245086669922
25-04-1994,18.25,19.5,130900,19.625,19.625,13.32337760925293
26-04-1994,19.625,19.625,172800,21.0,20.75,14.08713150024414
28-04-1994,20.75,21.0,73900,21.125,20.875,14.171998977661133
29-04-1994,21.0,21.0,166100,23.0,23.0,15.614659309387207
02-05-1994,22.625,22.75,87800,23.75,23.75,16.123830795288086
03-05-1994,23.25,23.5,55000,23.75,23.375,15.869243621826172
04-05-1994,23.375,23.5,81500,24.0,23.5,15.954107284545898
05-05-1994,23.25,23.25,14200,23.5,23.375,15.869243621826172
06-05-1994,22.375,23.125,67900,23.25,22.5,15.275199890136719
09-05-1994,21.75,22.25,65200,22.5,22.0,14.935760498046875
10-05-1994,21.75,22.0,18000,22.0,21.875,14.850890159606934
11-05-1994,21.375,21.875,24200,21.875,21.375,14.511436462402344
12-05-1994,21.25,21.5,18400,21.5,21.25,14.4265775680542
13-05-1994,20.875,21.25,68700,21.25,20.875,14.171998977661133
16-05-1994,20.0,20.75,13800,20.75,20.125,13.662818908691406
17-05-1994,19.875,20.125,18300,20.125,19.875,13.493095397949219
18-05-1994,19.5,19.875,40900,19.875,19.75,13.408245086669922
19-05-1994,18.0,19.5,772400,19.625,19.0,12.899066925048828
20-05-1994,18.875,18.875,58400,20.0,19.875,13.493095397949219
23-05-1994,20.0,20.0,12600,20.25,20.125,13.662818908691406
24-05-1994,19.875,20.25,92000,20.25,20.0,13.577960968017578
25-05-1994,19.75,19.75,36600,20.0,20.0,13.577960968017578
26-05-1994,20.125,20.125,3700,20.25,20.25,13.747682571411133
27-05-1994,19.625,20.25,15800,20.25,19.75,13.408245086669922
31-05-1994,19.375,19.5,3000,19.5,19.375,13.15365219116211
01-06-1994,19.25,19.25,17900,19.375,19.375,13.15365219116211
02-06-1994,19.625,19.625,25300,20.0,20.0,13.577960968017578
03-06-1994,20.25,20.25,60300,21.0,20.875,14.171998977661133
06-06-1994,20.625,20.75,55400,20.875,20.75,14.08713150024414
07-06-1994,20.875,20.875,34300,21.0,21.0,14.256864547729492
08-06-1994,20.875,21.0,3600,21.0,21.0,14.256864547729492
09-06-1994,20.875,21.0,3600,21.0,20.875,14.171998977661133
10-06-1994,20.75,20.75,10600,21.125,21.0,14.256864547729492
13-06-1994,20.875,21.0,9200,21.125,21.0,14.256864547729492
14-06-1994,20.25,21.0,51500,21.0,20.5,13.917409896850586
15-06-1994,21.25,21.25,63100,21.625,21.625,14.681175231933594
16-06-1994,21.625,21.75,11600,21.75,21.75,14.766036987304688
17-06-1994,21.875,22.0,25400,22.25,22.25,15.105488777160645
20-06-1994,21.75,22.0,14400,22.0,22.0,14.935760498046875
21-06-1994,21.5,22.0,30200,22.0,21.75,14.766036987304688
22-06-1994,22.0,22.0,22600,22.5,22.5,15.275199890136719
23-06-1994,21.875,22.25,4800,22.25,21.875,14.850890159606934
24-06-1994,21.75,22.0,7800,22.0,21.75,14.766036987304688
27-06-1994,21.5,21.5,6400,21.75,21.75,14.766036987304688
28-06-1994,21.125,21.5,18000,21.5,21.5,14.596309661865234
29-06-1994,21.0,21.25,15800,21.25,21.25,14.4265775680542
30-06-1994,21.375,21.5,38000,22.0,22.0,14.935760498046875
01-07-1994,21.5,22.0,13700,22.0,21.5,14.596309661865234
05-07-1994,21.5,21.5,4800,21.875,21.875,14.850890159606934
06-07-1994,21.625,21.75,39900,22.0,21.75,14.766036987304688
07-07-1994,21.75,21.75,11100,21.75,21.75,14.766036987304688
08-07-1994,21.75,21.875,16200,22.0,21.875,14.850890159606934
