date,unrate,psr,m2,dspic,pce,reer,ir,ffer,tcs,indpro,ccpi
1981-01-01,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-02,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-03,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-04,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-05,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-06,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-07,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-08,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-09,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-10,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-11,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-12,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-13,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-14,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-15,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-16,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-17,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-18,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-19,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-20,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-21,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-22,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-23,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-24,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-25,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-26,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-27,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-28,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-29,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-30,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-01-31,7.5,10.9,1612.9,4980.4,1870.0,,12.56857143,19.08451613,,51.1668,85.4
1981-02-01,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-02,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-03,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-04,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-05,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-06,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-07,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-08,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-09,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-10,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-11,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-12,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-13,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-14,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-15,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-16,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-17,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-18,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-19,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-02-20,7.4,10.8,1608.125,4965.0,1884.2,,13.19444444,15.93428571,,50.9509,85.9
