,Model Type,Train RMSE,Cross-Val RMSE,Test RMSE,Train Accuracy,Test Accuracy,Normality of Residuals,company
0,Elastic Net,-1.5951215824248413,-1.9952892821186765,-5.971752359450751,0.4838709677419355,0.49333333333333335,6.341970560114359e-102,DG
1,SVR,0.8825681313775363,-15.832077715138468,-3.0793410701396295,0.47664071190211343,0.4888888888888889,1.2260344910972688e-60,DG
2,Ridge,1.5857983580178605,-1.9262690491128853,6.36891544178879,0.4972191323692992,0.49333333333333335,1.0654473087425105e-103,DG
0,Elastic Net,-3.610247906071548,-4.10285132615391,-24.373954061510354,0.5072302558398221,0.4688888888888889,1.355267243370898e-16,JCI
1,SVR,-472.3733298256983,-59.583056235260486,-26.913292806353404,0.525027808676307,0.5711111111111111,1.9016449970606502e-303,JCI
2,Ridge,4.190340179961069,-4.318464920384001,25.639498392769955,0.5139043381535039,0.46444444444444444,4.0830297728521624e-11,JCI
0,Elastic Net,-2.104818666585923,-2.831115012435616,-8.912683109190109,0.4994438264738598,0.48,0.011750925084393625,BXP
1,SVR,0.7305929154839917,-10.45956955255917,-0.20650848170656766,0.4949944382647386,0.5177777777777778,6.491583077018253e-20,BXP
2,Ridge,2.09508989978938,-2.889074760524393,9.067259552241612,0.4988876529477197,0.48,0.009759256066751118,BXP
0,Elastic Net,-1.7990076251919813,-3.6015961812121224,-16.036166472503105,0.5088987764182424,0.4688888888888889,0.005599504707913351,CF
1,SVR,-3.228723812463035,-21.507498785132924,-2.789414470883939,0.5183537263626251,0.5333333333333333,1.337854371812571e-81,CF
2,Ridge,1.7902478055567512,-2.751546637243804,16.490202637096957,0.5111234705228032,0.4688888888888889,0.001828197923764966,CF
