Date,Low,Open,Volume,High,Close,Adjusted Close
22-02-1994,7.25,7.375,20800,7.375,7.25,4.534042835235596
23-02-1994,6.75,7.125,31600,7.125,6.9375,4.3386101722717285
24-02-1994,6.8125,6.9375,32000,6.9375,6.8125,4.260436058044434
25-02-1994,6.25,6.6875,49800,6.6875,6.4375,4.025917053222656
28-02-1994,6.4375,6.5,170400,6.75,6.625,4.143176078796387
01-03-1994,6.5,6.625,41600,6.625,6.5625,4.104091167449951
02-03-1994,6.4375,6.4375,67000,6.5625,6.5625,4.104091167449951
03-03-1994,6.5,6.625,27800,6.625,6.5,4.065005302429199
04-03-1994,6.4375,6.5,358200,6.75,6.75,4.221348285675049
07-03-1994,6.4375,6.4375,690800,6.8125,6.75,4.221348285675049
08-03-1994,6.75,6.75,515200,6.8125,6.8125,4.260436058044434
09-03-1994,6.8125,6.8125,540400,6.875,6.875,4.299524784088135
10-03-1994,6.8125,6.875,1832200,6.875,6.875,4.299524784088135
11-03-1994,6.9375,6.9375,1895400,7.1875,7.1875,4.494953155517578
14-03-1994,7.1875,7.1875,1413800,7.625,7.5625,4.729474067687988
15-03-1994,7.4375,7.5625,1665200,7.6875,7.4375,4.651302814483643
16-03-1994,7.3125,7.4375,717000,7.4375,7.4375,4.651302814483643
17-03-1994,7.4375,7.4375,971200,7.6875,7.5625,4.745425701141357
18-03-1994,7.625,7.625,1178000,7.6875,7.625,4.78464412689209
21-03-1994,7.625,7.625,659400,7.6875,7.6875,4.8238630294799805
22-03-1994,7.6875,7.6875,374000,7.875,7.8125,4.902299404144287
23-03-1994,7.75,7.8125,430200,7.9375,7.875,4.9415202140808105
24-03-1994,7.75,7.8125,747000,7.875,7.75,4.863083362579346
25-03-1994,7.625,7.8125,370000,7.8125,7.6875,4.8238630294799805
28-03-1994,7.625,7.6875,1116200,7.6875,7.625,4.78464412689209
29-03-1994,7.5,7.625,595800,7.6875,7.5,4.706207275390625
30-03-1994,7.3125,7.5,653000,7.5,7.375,4.627771377563477
31-03-1994,7.25,7.375,448400,7.4375,7.375,4.627771377563477
04-04-1994,7.125,7.125,386600,7.375,7.375,4.627771377563477
05-04-1994,7.3125,7.3125,361600,7.6875,7.625,4.78464412689209
06-04-1994,7.375,7.625,551400,7.6875,7.375,4.627771377563477
07-04-1994,7.375,7.5,338400,7.5,7.4375,4.666988849639893
08-04-1994,7.3125,7.3125,166000,7.5,7.5,4.706207275390625
11-04-1994,7.25,7.5,424800,7.625,7.25,4.549333095550537
12-04-1994,7.125,7.125,602800,7.25,7.125,4.470898151397705
13-04-1994,7.0,7.125,504600,7.3125,7.0,4.392461776733398
14-04-1994,6.9375,7.0625,378200,7.0625,6.9375,4.353243350982666
15-04-1994,6.875,6.875,197600,7.0625,6.875,4.314025402069092
18-04-1994,7.0,7.0,184800,7.25,7.25,4.549333095550537
19-04-1994,7.1875,7.1875,122200,7.3125,7.25,4.549333095550537
20-04-1994,7.125,7.3125,201400,7.3125,7.125,4.470898151397705
21-04-1994,6.875,7.125,858200,7.3125,6.875,4.314025402069092
22-04-1994,7.0,7.0,411400,7.25,7.25,4.549333095550537
25-04-1994,7.1875,7.1875,330600,7.625,7.625,4.78464412689209
26-04-1994,7.25,7.5625,313400,7.5625,7.375,4.627771377563477
28-04-1994,7.125,7.3125,161600,7.3125,7.3125,4.588552474975586
29-04-1994,7.1875,7.25,344600,7.3125,7.25,4.549333095550537
02-05-1994,7.0625,7.1875,135800,7.3125,7.1875,4.510115146636963
03-05-1994,7.125,7.25,375200,7.4375,7.1875,4.510115146636963
04-05-1994,7.125,7.125,491800,7.375,7.3125,4.588552474975586
05-05-1994,7.1875,7.3125,152800,7.3125,7.25,4.549333095550537
06-05-1994,7.25,7.25,272800,7.3125,7.25,4.549333095550537
09-05-1994,7.25,7.25,161600,7.3125,7.25,4.549333095550537
10-05-1994,7.25,7.25,308200,7.5,7.5,4.706207275390625
11-05-1994,7.5,7.5,388600,7.6875,7.5625,4.745425701141357
12-05-1994,7.5,7.5,155000,7.75,7.75,4.863083362579346
13-05-1994,7.375,7.6875,105200,7.75,7.375,4.627771377563477
16-05-1994,7.375,7.375,206800,7.5625,7.4375,4.666988849639893
17-05-1994,7.4375,7.5,422600,7.5625,7.5,4.706207275390625
18-05-1994,7.4375,7.5,130800,7.5,7.5,4.706207275390625
19-05-1994,7.375,7.4375,199400,7.625,7.5625,4.745425701141357
20-05-1994,7.375,7.5,119600,7.5625,7.375,4.627771377563477
23-05-1994,7.25,7.3125,195600,7.375,7.25,4.549333095550537
24-05-1994,7.375,7.4375,158200,7.5625,7.5625,4.745425701141357
25-05-1994,7.5,7.5,104800,7.75,7.6875,4.8238630294799805
26-05-1994,7.5625,7.75,345800,7.75,7.75,4.863083362579346
27-05-1994,7.625,7.6875,298000,7.8125,7.8125,4.902299404144287
31-05-1994,7.875,7.9375,456400,8.25,8.0625,5.059174060821533
01-06-1994,7.875,8.0625,268200,8.0625,7.875,4.9415202140808105
02-06-1994,7.8125,8.0,81000,8.0625,7.875,4.9415202140808105
03-06-1994,7.625,7.8125,397400,7.9375,7.75,4.863083362579346
06-06-1994,7.8125,7.875,75600,7.9375,7.875,4.9415202140808105
07-06-1994,7.75,7.75,92800,7.9375,7.9375,4.980737209320068
08-06-1994,7.875,7.9375,107600,7.9375,7.875,4.9415202140808105
09-06-1994,7.8125,7.8125,187800,7.90625,7.875,4.95725679397583
10-06-1994,7.6875,7.875,280600,7.875,7.6875,4.8392252922058105
13-06-1994,7.5625,7.75,97600,7.875,7.875,4.95725679397583
14-06-1994,7.8125,7.875,339800,8.0625,8.0625,5.0752854347229
15-06-1994,8.0,8.0,305200,8.1875,8.1875,5.1539716720581055
16-06-1994,8.0625,8.125,393800,8.5,8.5,5.350689888000488
17-06-1994,8.25,8.5,407200,8.5,8.25,5.193315029144287
20-06-1994,8.0625,8.125,47800,8.25,8.125,5.114627838134766
21-06-1994,8.125,8.125,556200,8.5,8.5,5.350689888000488
22-06-1994,8.375,8.375,759200,8.625,8.5,5.350689888000488
23-06-1994,8.4375,8.4375,553200,8.5,8.5,5.350689888000488
24-06-1994,8.375,8.4375,1003800,8.5,8.375,5.272001266479492
27-06-1994,8.125,8.375,295200,8.375,8.25,5.193315029144287
28-06-1994,8.125,8.1875,165800,8.25,8.125,5.114627838134766
29-06-1994,8.0,8.125,396200,8.125,8.0,5.035942077636719
30-06-1994,8.0,8.0,453200,8.1875,8.1875,5.1539716720581055
01-07-1994,8.0625,8.1875,870200,8.25,8.125,5.114627838134766
05-07-1994,8.0625,8.0625,685600,8.25,8.1875,5.1539716720581055
06-07-1994,8.125,8.1875,163800,8.25,8.125,5.114627838134766
07-07-1994,8.125,8.125,290600,8.25,8.1875,5.1539716720581055
08-07-1994,8.125,8.125,165000,8.3125,8.25,5.193315029144287
11-07-1994,8.1875,8.1875,86800,8.3125,8.25,5.193315029144287
12-07-1994,8.0625,8.25,390800,8.25,8.0625,5.0752854347229
13-07-1994,8.0,8.0625,287000,8.125,8.0625,5.0752854347229
14-07-1994,7.9375,7.9375,167600,8.125,8.0625,5.0752854347229
15-07-1994,7.9375,7.9375,78800,8.0625,8.0625,5.0752854347229
18-07-1994,8.0,8.0625,150600,8.25,8.1875,5.1539716720581055
19-07-1994,8.3125,8.3125,743800,8.5,8.375,5.272001266479492
20-07-1994,8.3125,8.375,1206000,8.5625,8.5625,5.390030860900879
21-07-1994,8.4375,8.4375,544800,8.5625,8.5625,5.390030860900879
22-07-1994,8.5,8.5625,201400,8.625,8.5625,5.390030860900879
25-07-1994,8.5,8.625,71600,8.625,8.625,5.429376125335693
26-07-1994,8.625,8.75,205400,8.8125,8.6875,5.468719959259033
27-07-1994,8.625,8.625,244000,8.8125,8.6875,5.468719959259033
28-07-1994,8.5625,8.625,122400,8.625,8.625,5.429376125335693
29-07-1994,8.5625,8.625,102400,8.6875,8.6875,5.468719959259033
01-08-1994,8.625,8.625,136800,8.6875,8.6875,5.468719959259033
02-08-1994,8.6875,8.75,513400,8.8125,8.8125,5.547407627105713
03-08-1994,8.6875,8.8125,709800,8.8125,8.8125,5.547407627105713
04-08-1994,7.625,8.25,1680600,8.25,7.9375,4.996600151062012
05-08-1994,7.75,7.9375,373600,7.9375,7.75,4.878570079803467
08-08-1994,7.75,7.8125,501400,7.875,7.8125,4.917910575866699
09-08-1994,7.6875,7.875,1031000,7.875,7.75,4.878570079803467
10-08-1994,7.625,7.75,1103200,7.75,7.6875,4.8392252922058105
11-08-1994,7.5625,7.625,703800,7.65625,7.5625,4.760537147521973
12-08-1994,7.375,7.5625,422800,7.6875,7.6875,4.8392252922058105
15-08-1994,7.625,7.625,173800,7.8125,7.8125,4.917910575866699
16-08-1994,7.75,7.8125,280000,8.0625,8.0625,5.0752854347229
17-08-1994,8.0,8.0625,131800,8.25,8.0625,5.0752854347229
18-08-1994,8.0,8.0,225800,8.0625,8.0,5.035942077636719
19-08-1994,8.0625,8.0625,166600,8.375,8.25,5.193315029144287
22-08-1994,8.0625,8.125,41000,8.1875,8.125,5.114627838134766
23-08-1994,8.125,8.1875,186800,8.1875,8.125,5.114627838134766
24-08-1994,7.9375,8.125,183200,8.125,7.9375,4.996600151062012
25-08-1994,7.5625,7.8125,178000,7.8125,7.6875,4.8392252922058105
26-08-1994,7.4375,7.625,515200,7.6875,7.625,4.7998809814453125
29-08-1994,7.5625,7.5625,45800,7.6875,7.6875,4.8392252922058105
30-08-1994,7.3125,7.5625,420800,7.625,7.5,4.721193790435791
31-08-1994,7.4375,7.625,277200,7.625,7.5,4.721193790435791
01-09-1994,7.4375,7.625,142400,7.625,7.4375,4.681852340698242
02-09-1994,7.4375,7.4375,117000,7.5,7.4375,4.681852340698242
06-09-1994,7.375,7.4375,226800,7.5,7.5,4.721193790435791
07-09-1994,7.375,7.5625,192600,7.5625,7.375,4.6425089836120605
08-09-1994,7.375,7.375,105600,7.4375,7.375,4.6425089836120605
09-09-1994,7.3125,7.3125,1000800,7.4375,7.3125,4.618823051452637
12-09-1994,7.1875,7.4375,419400,7.4375,7.3125,4.618823051452637
13-09-1994,7.375,7.4375,97800,7.4375,7.4375,4.69777774810791
14-09-1994,7.3125,7.375,62600,7.4375,7.375,4.658299922943115
15-09-1994,7.1875,7.375,956600,7.375,7.1875,4.539867877960205
16-09-1994,7.1875,7.25,245000,7.25,7.25,4.579345226287842
19-09-1994,7.1875,7.25,134400,7.25,7.25,4.579345226287842
20-09-1994,7.4375,7.4375,1914200,7.5625,7.5625,4.776731014251709
21-09-1994,7.375,7.5,471400,7.5,7.4375,4.69777774810791
22-09-1994,7.25,7.375,1111000,7.5,7.25,4.579345226287842
23-09-1994,7.1875,7.3125,85200,7.3125,7.1875,4.539867877960205
26-09-1994,7.1875,7.25,652400,7.25,7.25,4.579345226287842
27-09-1994,7.1875,7.1875,158600,7.3125,7.3125,4.618823051452637
28-09-1994,7.25,7.3125,220200,7.3125,7.25,4.579345226287842
29-09-1994,7.125,7.25,242200,7.25,7.125,4.500393867492676
30-09-1994,7.1875,7.1875,36600,7.25,7.1875,4.539867877960205
03-10-1994,7.1875,7.25,319000,7.3125,7.1875,4.539867877960205
04-10-1994,7.125,7.1875,307400,7.25,7.125,4.500393867492676
05-10-1994,7.125,7.1875,162200,7.25,7.125,4.500393867492676
06-10-1994,7.125,7.1875,35200,7.1875,7.1875,4.539867877960205
07-10-1994,7.0,7.125,450600,7.125,7.125,4.500393867492676
10-10-1994,7.0625,7.0625,42800,7.1875,7.1875,4.539867877960205
11-10-1994,7.125,7.1875,75200,7.1875,7.125,4.500393867492676
12-10-1994,7.125,7.1875,113600,7.1875,7.125,4.500393867492676
13-10-1994,7.125,7.125,2396400,7.375,7.3125,4.618823051452637
14-10-1994,7.3125,7.3125,275200,7.6875,7.6875,4.855686187744141
17-10-1994,7.5625,7.6875,61400,7.6875,7.5625,4.776731014251709
18-10-1994,7.5625,7.5625,25200,7.625,7.5625,4.776731014251709
19-10-1994,7.625,7.625,167200,7.8125,7.6875,4.855686187744141
20-10-1994,7.5,7.625,109400,7.625,7.5,4.737252235412598
21-10-1994,7.4375,7.5,195000,7.625,7.5625,4.776731014251709
24-10-1994,7.5,7.5,51200,7.9375,7.9375,5.013594150543213
25-10-1994,7.375,7.9375,169000,8.0,7.625,4.816205978393555
26-10-1994,7.5,7.625,62000,7.6875,7.6875,4.855686187744141
27-10-1994,7.4375,7.75,134600,7.75,7.5,4.737252235412598
28-10-1994,7.5,7.5625,91800,7.625,7.625,4.816205978393555
31-10-1994,7.5625,7.625,163000,7.6875,7.625,4.816205978393555
01-11-1994,7.625,7.75,358000,7.8125,7.6875,4.855686187744141
02-11-1994,7.4375,7.6875,39600,7.6875,7.4375,4.69777774810791
03-11-1994,7.4375,7.5,258800,7.625,7.5,4.737252235412598
04-11-1994,7.4375,7.5,116000,7.5625,7.4375,4.69777774810791
07-11-1994,7.375,7.4375,76600,7.4375,7.4375,4.69777774810791
08-11-1994,7.25,7.375,146200,7.4375,7.375,4.658299922943115
09-11-1994,7.25,7.4375,236800,7.4375,7.25,4.579345226287842
10-11-1994,7.25,7.3125,215400,7.375,7.3125,4.618823051452637
11-11-1994,7.1875,7.3125,138000,7.3125,7.25,4.579345226287842
14-11-1994,7.1875,7.25,156000,7.25,7.25,4.579345226287842
15-11-1994,7.125,7.25,456000,7.25,7.1875,4.539867877960205
16-11-1994,7.125,7.1875,70400,7.25,7.1875,4.539867877960205
17-11-1994,7.0625,7.1875,230800,7.25,7.25,4.579345226287842
18-11-1994,7.125,7.125,240400,7.1875,7.1875,4.539867877960205
21-11-1994,7.0,7.25,356200,7.25,7.0,4.421438694000244
22-11-1994,6.75,7.0,433400,7.125,6.8125,4.303006172180176
23-11-1994,6.75,6.8125,275800,6.875,6.8125,4.303006172180176
25-11-1994,6.6875,6.75,20000,6.8125,6.75,4.263526916503906
28-11-1994,6.75,6.75,173800,6.9375,6.75,4.263526916503906
29-11-1994,6.5625,6.75,315000,6.875,6.875,4.342483997344971
30-11-1994,6.6875,6.8125,76400,6.875,6.75,4.263526916503906
01-12-1994,6.625,6.8125,179400,6.8125,6.625,4.184573173522949
02-12-1994,6.625,6.625,143800,6.75,6.75,4.263526916503906
05-12-1994,6.75,6.8125,37000,6.9375,6.75,4.263526916503906
06-12-1994,6.6875,6.8125,169400,6.875,6.6875,4.224052906036377
07-12-1994,6.6875,6.6875,105200,6.8125,6.75,4.263526916503906
08-12-1994,6.5,6.6875,141400,6.75,6.5,4.105623245239258
09-12-1994,6.5,6.5,65600,6.75,6.6875,4.240362644195557
12-12-1994,6.4375,6.625,85800,6.6875,6.5625,4.161102771759033
13-12-1994,6.5625,6.5625,113400,7.0,6.5625,4.161102771759033
14-12-1994,6.5625,6.5625,84400,6.6875,6.625,4.200730323791504
15-12-1994,6.5625,6.5625,92600,6.75,6.6875,4.240362644195557
16-12-1994,6.6875,6.8125,136400,6.8125,6.6875,4.240362644195557
19-12-1994,6.6875,6.8125,56200,6.8125,6.75,4.279989719390869
20-12-1994,6.6875,6.6875,50400,6.8125,6.75,4.279989719390869
21-12-1994,6.5625,6.6875,158800,6.8125,6.5625,4.161102771759033
22-12-1994,6.625,6.625,194600,6.75,6.6875,4.240362644195557
23-12-1994,6.6875,6.75,39600,6.75,6.75,4.279989719390869
27-12-1994,6.6875,6.6875,32000,6.75,6.75,4.279989719390869
28-12-1994,6.5625,6.6875,84600,6.75,6.5625,4.161102771759033
29-12-1994,6.625,6.625,318400,6.875,6.8125,4.319619655609131
30-12-1994,6.75,6.8125,185400,7.0,6.9375,4.398880481719971
03-01-1995,6.6875,6.875,161600,6.9375,6.9375,4.398880481719971
04-01-1995,6.875,7.0,152000,7.125,7.125,4.517768383026123
05-01-1995,6.875,7.125,22800,7.125,6.875,4.359251976013184
06-01-1995,6.9375,6.9375,70800,7.0,7.0,4.438510894775391
09-01-1995,6.875,7.0,125600,7.0625,6.875,4.359251976013184
10-01-1995,6.75,6.8125,43200,6.875,6.8125,4.319619655609131
11-01-1995,6.75,6.8125,84600,7.0,7.0,4.438510894775391
12-01-1995,6.8125,7.0625,73200,7.0625,6.8125,4.319619655609131
13-01-1995,6.9375,6.9375,77200,7.125,7.0625,4.478137969970703
16-01-1995,7.0625,7.0625,69200,7.25,7.1875,4.557395935058594
17-01-1995,7.125,7.1875,138400,7.25,7.125,4.517768383026123
18-01-1995,6.75,7.125,97000,7.1875,6.9375,4.398880481719971
19-01-1995,6.8125,7.0,54000,7.0,6.9375,4.398880481719971
20-01-1995,6.9375,7.0,82400,7.125,7.125,4.517768383026123
