Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,4.546875,4.546875,20000,4.546875,4.546875,2.4753880500793457
22-02-1973,4.578125,4.578125,6400,4.578125,4.578125,2.4924001693725586
23-02-1973,4.734375,4.734375,43200,4.734375,4.734375,2.577465057373047
26-02-1973,4.734375,4.734375,4800,4.734375,4.734375,2.577465057373047
27-02-1973,4.671875,4.671875,1600,4.671875,4.671875,2.5434391498565674
28-02-1973,4.625,4.625,65600,4.625,4.625,2.5179197788238525
01-03-1973,4.640625,4.640625,3200,4.640625,4.640625,2.5264251232147217
02-03-1973,4.625,4.625,1600,4.625,4.625,2.5179197788238525
05-03-1973,4.59375,4.59375,14400,4.59375,4.59375,2.500908613204956
06-03-1973,4.609375,4.609375,108000,4.609375,4.609375,2.5094146728515625
07-03-1973,4.5,4.5,36000,4.5,4.5,2.4498682022094727
08-03-1973,4.5,4.5,8000,4.5,4.5,2.4498682022094727
09-03-1973,4.375,4.375,16800,4.375,4.375,2.381817579269409
12-03-1973,4.25,4.25,17600,4.25,4.25,2.313764810562134
13-03-1973,4.3125,4.3125,14400,4.3125,4.3125,2.3477914333343506
14-03-1973,4.265625,4.265625,13600,4.265625,4.265625,2.3222711086273193
15-03-1973,4.25,4.25,28000,4.25,4.25,2.313764810562134
16-03-1973,4.25,4.25,121600,4.25,4.25,2.313764810562134
19-03-1973,4.265625,4.265625,16800,4.265625,4.265625,2.3222711086273193
20-03-1973,4.21875,4.21875,20000,4.21875,4.21875,2.2967522144317627
21-03-1973,4.15625,4.15625,16800,4.15625,4.15625,2.262725591659546
22-03-1973,3.890625,3.890625,16000,3.890625,3.890625,2.1181156635284424
23-03-1973,3.8125,3.8125,44000,3.8125,3.8125,2.0755836963653564
26-03-1973,3.78125,3.78125,25600,3.78125,3.78125,2.05856990814209
27-03-1973,4.0,4.0,25600,4.0,4.0,2.177659749984741
28-03-1973,4.234375,4.234375,12800,4.234375,4.234375,2.3052573204040527
29-03-1973,4.375,4.375,25600,4.375,4.375,2.381817579269409
30-03-1973,4.375,4.375,35200,4.375,4.375,2.381817579269409
02-04-1973,4.34375,4.34375,16000,4.34375,4.34375,2.3648030757904053
03-04-1973,4.203125,4.203125,127200,4.203125,4.203125,2.288245677947998
04-04-1973,4.09375,4.09375,32800,4.09375,4.09375,2.2286996841430664
05-04-1973,4.0,4.0,29600,4.0,4.0,2.177659749984741
06-04-1973,3.90625,3.90625,55200,3.90625,3.90625,2.126622438430786
09-04-1973,4.03125,4.03125,36000,4.03125,4.03125,2.1946754455566406
10-04-1973,4.125,4.125,12000,4.125,4.125,2.2457122802734375
11-04-1973,4.125,4.125,53600,4.125,4.125,2.2457122802734375
12-04-1973,4.125,4.125,16000,4.125,4.125,2.2457122802734375
13-04-1973,4.09375,4.09375,12000,4.09375,4.09375,2.2286996841430664
16-04-1973,3.96875,3.96875,24000,3.96875,3.96875,2.160647392272949
17-04-1973,4.03125,4.03125,12800,4.03125,4.03125,2.1946754455566406
18-04-1973,4.03125,4.03125,2400,4.03125,4.03125,2.1946754455566406
19-04-1973,4.0625,4.0625,25600,4.0625,4.0625,2.2116878032684326
23-04-1973,4.125,4.125,10400,4.125,4.125,2.2457122802734375
24-04-1973,4.0625,4.0625,3200,4.0625,4.0625,2.2116878032684326
25-04-1973,4.0625,4.0625,12800,4.0625,4.0625,2.2116878032684326
26-04-1973,4.09375,4.09375,25600,4.09375,4.09375,2.2286996841430664
27-04-1973,4.078125,4.078125,4000,4.078125,4.078125,2.2201926708221436
30-04-1973,4.015625,4.015625,20000,4.015625,4.015625,2.1861674785614014
01-05-1973,3.8125,3.8125,41600,3.8125,3.8125,2.0755836963653564
02-05-1973,3.875,3.875,38400,3.875,3.875,2.1096091270446777
03-05-1973,3.90625,0.0,13600,4.0,4.0,2.177659749984741
04-05-1973,4.03125,0.0,13600,4.171875,4.125,2.2457122802734375
07-05-1973,4.0625,0.0,4800,4.09375,4.0625,2.2116878032684326
08-05-1973,3.96875,0.0,7200,4.09375,4.0,2.177659749984741
09-05-1973,3.875,0.0,283200,3.96875,3.921875,2.13512921333313
10-05-1973,3.921875,0.0,4000,3.984375,3.984375,2.169154167175293
11-05-1973,3.953125,0.0,24800,3.984375,3.953125,2.152141571044922
14-05-1973,3.875,0.0,10400,3.921875,3.875,2.1096091270446777
15-05-1973,3.84375,0.0,57600,3.875,3.84375,2.0925967693328857
16-05-1973,3.796875,0.0,121600,3.8125,3.796875,2.0670769214630127
17-05-1973,3.734375,0.0,23200,3.8125,3.734375,2.0330514907836914
