Date,Low,Open,Volume,High,Close,Adjusted Close
31-10-1994,8.1875,8.1875,1984200,8.3125,8.3125,2.654357433319092
01-11-1994,8.1875,8.3125,2176400,8.3125,8.25,2.634399890899658
02-11-1994,8.1875,8.25,2348200,8.25,8.1875,2.614442825317383
03-11-1994,8.125,8.1875,2060800,8.25,8.1875,2.614442825317383
04-11-1994,8.125,8.1875,2663800,8.25,8.125,2.594484329223633
07-11-1994,8.0,8.0625,1049400,8.0625,8.0625,2.5745275020599365
08-11-1994,7.875,8.0625,5761000,8.0625,7.875,2.5146548748016357
09-11-1994,7.9375,7.9375,2480000,8.0625,8.0,2.554569959640503
10-11-1994,8.0,8.0,1956000,8.0625,8.0625,2.5745275020599365
11-11-1994,8.0,8.0625,1300200,8.0625,8.0,2.554569959640503
14-11-1994,7.875,7.9375,1419200,7.9375,7.9375,2.758760929107666
15-11-1994,7.875,7.9375,3118800,7.9375,7.875,2.737039566040039
16-11-1994,7.875,7.875,813400,7.9375,7.875,2.737039566040039
17-11-1994,7.75,7.875,1477600,7.875,7.8125,2.7153165340423584
18-11-1994,7.6875,7.8125,2452600,7.8125,7.75,2.6935935020446777
21-11-1994,7.5625,7.75,3276000,7.75,7.5625,2.628424882888794
22-11-1994,7.4375,7.5625,2725000,7.625,7.4375,2.584981679916382
23-11-1994,7.3125,7.4375,2634200,7.5,7.5,2.606703996658325
25-11-1994,7.5,7.5,640800,7.5,7.5,2.606703996658325
28-11-1994,7.4375,7.5,1583400,7.5625,7.5625,2.628424882888794
29-11-1994,7.4375,7.5625,1056400,7.5625,7.5,2.606703996658325
30-11-1994,7.4375,7.5,1086800,7.5,7.5,2.606703996658325
01-12-1994,7.4375,7.5,979000,7.5,7.4375,2.584981679916382
02-12-1994,7.375,7.4375,1257200,7.5,7.5,2.606703996658325
05-12-1994,7.4375,7.5,1071200,7.5625,7.4375,2.584981679916382
06-12-1994,7.375,7.4375,1819200,7.4375,7.4375,2.584981679916382
07-12-1994,7.3125,7.4375,1223400,7.4375,7.375,2.563257932662964
08-12-1994,7.375,7.375,1178400,7.4375,7.375,2.563257932662964
09-12-1994,7.3125,7.375,1682000,7.375,7.375,2.563257932662964
12-12-1994,7.3125,7.375,1011400,7.4375,7.375,2.563257932662964
13-12-1994,7.375,7.375,1555200,7.5,7.4375,2.584981679916382
14-12-1994,7.4375,7.4375,1351600,7.5,7.5,2.606703996658325
15-12-1994,7.375,7.5,2600400,7.5625,7.5,2.606703996658325
16-12-1994,7.4375,7.5,3428800,7.5625,7.5,2.606703996658325
19-12-1994,7.375,7.5,3590000,7.625,7.5625,2.628424882888794
20-12-1994,7.5625,7.5625,1464200,7.625,7.625,2.6501495838165283
21-12-1994,7.625,7.625,3717600,7.6875,7.625,2.6501495838165283
22-12-1994,7.625,7.625,1467200,7.75,7.75,2.6935935020446777
23-12-1994,7.625,7.75,1012000,7.75,7.625,2.6501495838165283
27-12-1994,7.625,7.625,3242800,7.75,7.75,2.6935935020446777
28-12-1994,7.625,7.75,1814400,7.75,7.75,2.6935935020446777
29-12-1994,7.75,7.75,1436200,7.8125,7.8125,2.7153165340423584
30-12-1994,7.6875,7.8125,1365600,7.8125,7.8125,2.7153165340423584
03-01-1995,7.6875,7.8125,1064200,7.8125,7.75,2.6935935020446777
04-01-1995,7.625,7.75,1751600,7.8125,7.6875,2.671872854232788
05-01-1995,7.625,7.6875,1600200,7.75,7.75,2.6935935020446777
06-01-1995,7.6875,7.75,2230600,7.8125,7.6875,2.671872854232788
09-01-1995,7.625,7.6875,2108800,7.75,7.6875,2.671872854232788
10-01-1995,7.6875,7.6875,1580600,7.75,7.6875,2.671872854232788
11-01-1995,7.5625,7.6875,3488600,7.6875,7.625,2.6501495838165283
