Date,Low,Open,Volume,High,Close,Adjusted Close
26-01-1988,11.25,11.5,7244600,11.75,11.5,7.336147308349609
27-01-1988,11.4375,11.5625,3652400,12.375,12.375,7.894329071044922
28-01-1988,12.125,12.25,2180000,12.5625,12.5625,8.013941764831543
29-01-1988,11.875,12.4375,1335400,12.5625,12.25,7.814590930938721
01-02-1988,11.9375,12.125,488800,12.25,12.0,7.6551103591918945
02-02-1988,11.8125,12.0,476800,12.0,12.0,7.6551103591918945
03-02-1988,12.0,12.0,1284600,12.625,12.125,7.7348480224609375
04-02-1988,12.0625,12.125,328000,12.3125,12.3125,7.8544602394104
05-02-1988,12.25,12.25,403600,12.4375,12.375,7.894329071044922
08-02-1988,11.875,12.125,143400,12.125,12.0,7.6551103591918945
09-02-1988,11.875,12.125,157000,12.125,11.875,7.575366497039795
10-02-1988,12.0,12.0,456400,12.3125,12.25,7.814590930938721
11-02-1988,12.375,12.375,484000,12.5625,12.375,7.894329071044922
12-02-1988,12.5,12.5,222600,12.8125,12.75,8.133552551269531
16-02-1988,12.8125,12.8125,838000,13.25,13.25,8.452513694763184
17-02-1988,12.875,13.25,642400,13.4375,13.0625,8.332905769348145
18-02-1988,12.9375,13.0,516000,13.3125,13.25,8.452513694763184
19-02-1988,13.25,13.25,1103400,14.625,14.25,9.09044075012207
22-02-1988,14.0,14.125,326600,14.25,14.1875,9.05057144165039
23-02-1988,13.8125,14.125,245000,14.125,14.0,8.930956840515137
24-02-1988,13.75,13.9375,271600,13.9375,13.875,8.851215362548828
25-02-1988,13.875,13.875,948000,14.25,14.0625,8.970830917358398
26-02-1988,14.0,14.0625,256000,14.125,14.125,9.010702133178711
29-02-1988,14.1875,14.25,647800,15.1875,15.125,9.648626327514648
01-03-1988,14.875,15.1875,587200,15.375,14.875,9.489141464233398
02-03-1988,14.8125,14.8125,192000,15.1875,15.1875,9.688497543334961
03-03-1988,15.0,15.3125,232800,15.3125,15.0,9.56888484954834
04-03-1988,14.875,14.875,426000,15.5,15.5,9.887846946716309
07-03-1988,15.25,15.25,463400,16.0625,15.9375,10.166940689086914
08-03-1988,15.8125,15.875,494800,16.0625,15.9375,10.166940689086914
09-03-1988,15.8125,16.0,205400,16.0,15.875,10.127070426940918
10-03-1988,14.5625,15.9375,414200,15.9375,14.5625,9.289796829223633
11-03-1988,14.0,14.5,223400,14.6875,14.5,9.294602394104004
14-03-1988,14.5625,14.625,144800,15.125,15.0625,9.655167579650879
15-03-1988,15.25,15.25,673200,15.9375,15.9375,10.216046333312988
16-03-1988,15.5625,16.0,202800,16.125,15.6875,10.055798530578613
17-03-1988,15.5,15.875,146600,15.875,15.75,10.095860481262207
18-03-1988,15.4375,15.8125,166800,15.8125,15.4375,9.895549774169922
21-03-1988,14.9375,15.375,254400,15.375,15.0,9.615099906921387
22-03-1988,14.8125,15.0,515000,15.25,14.875,9.53497314453125
23-03-1988,14.875,14.9375,27600,15.0,15.0,9.615099906921387
24-03-1988,14.0,14.5,699200,14.5,14.375,9.214476585388184
25-03-1988,14.1875,14.5,152800,14.6875,14.1875,9.094287872314453
28-03-1988,13.8125,13.8125,137000,14.25,14.25,9.134350776672363
