Date,Low,Open,Volume,High,Close,Adjusted Close
08-08-1997,36.4375,37.6875,245500,37.6875,37.0,32.91373062133789
11-08-1997,36.125,37.0,243600,37.25,36.8125,32.746925354003906
12-08-1997,36.6875,36.75,405500,37.0,36.9375,32.85810852050781
13-08-1997,35.75,37.0,405700,37.5,37.5,33.3585205078125
14-08-1997,36.375,37.25,195600,37.375,36.875,32.80253601074219
15-08-1997,35.75,36.625,260500,36.75,36.0625,32.07974624633789
18-08-1997,35.625,36.1875,180600,36.25,36.0625,32.07974624633789
19-08-1997,34.75,36.0,703300,36.125,36.125,32.13535690307617
20-08-1997,35.25,36.0,1029500,36.25,35.5625,31.634973526000977
21-08-1997,35.125,35.5,1406500,35.75,35.3125,31.412601470947266
22-08-1997,34.75,34.875,157300,35.3125,35.3125,31.412601470947266
25-08-1997,35.9375,36.0,1698400,36.875,36.75,32.69133758544922
26-08-1997,37.0,37.0,589700,38.375,38.0,33.803287506103516
27-08-1997,37.625,38.0,716300,38.3125,37.6875,33.52529525756836
28-08-1997,37.4375,37.75,1333100,39.1875,39.125,34.80403137207031
29-08-1997,39.25,39.25,1840400,40.0,39.9375,35.52680587768555
02-09-1997,39.75,39.9375,1023700,42.0,41.75,37.13914108276367
03-09-1997,42.0,42.0,788200,42.75,42.5625,37.861907958984375
04-09-1997,41.5,42.0,3477000,44.375,44.0,39.140655517578125
05-09-1997,43.75,44.0,907200,44.25,44.0625,39.19623947143555
08-09-1997,43.625,44.0,728300,44.0,43.75,38.91825485229492
09-09-1997,42.75,43.75,669300,43.75,42.875,38.139888763427734
10-09-1997,42.1875,42.625,329500,42.8125,42.3125,37.63949966430664
11-09-1997,41.6875,42.1875,221600,42.25,41.75,37.13914108276367
12-09-1997,41.4375,41.6875,85400,41.75,41.625,37.072330474853516
15-09-1997,41.0,41.875,228600,42.0,41.25,36.73834991455078
16-09-1997,41.125,41.5,348400,41.6875,41.25,36.73834991455078
17-09-1997,40.0625,41.25,285100,41.25,40.3125,35.903385162353516
18-09-1997,40.1875,40.3125,459400,40.875,40.6875,36.237369537353516
19-09-1997,40.25,40.25,137500,40.75,40.3125,35.903385162353516
22-09-1997,39.5,40.3125,188700,40.3125,39.6875,35.34675216674805
23-09-1997,38.5,39.6875,450700,39.6875,39.5,35.179752349853516
24-09-1997,39.5,39.5625,552200,40.25,39.6875,35.34675216674805
25-09-1997,39.625,39.8125,274500,40.0,39.6875,35.34675216674805
