Date,Low,Open,Volume,High,Close,Adjusted Close
12-06-1997,30.875,32.125,19963800,33.0,31.5,25.81743049621582
13-06-1997,31.75,31.75,3661100,32.875,32.375,26.534597396850586
16-06-1997,30.625,32.25,2481700,32.5,30.875,25.30518341064453
17-06-1997,29.125,30.125,2283800,30.25,29.75,24.383129119873047
18-06-1997,28.125,29.75,1749900,29.75,28.375,23.25618553161621
19-06-1997,28.25,28.5,1269900,29.625,29.375,24.075786590576172
20-06-1997,29.375,29.5,859100,30.25,29.5,24.178234100341797
23-06-1997,28.125,29.875,725000,29.875,28.25,23.153728485107422
24-06-1997,27.125,28.5,1212100,29.625,28.875,23.665983200073242
25-06-1997,28.125,29.125,726600,29.125,28.6875,23.51230239868164
26-06-1997,27.625,28.125,534500,28.5,28.25,23.153728485107422
27-06-1997,27.1875,28.125,441500,28.375,27.25,22.334129333496094
30-06-1997,26.25,27.125,796900,27.625,27.375,22.436573028564453
01-07-1997,26.5,27.25,621300,27.3125,26.9375,22.0780086517334
02-07-1997,26.625,26.9375,818700,27.9375,27.8125,22.79515838623047
03-07-1997,26.75,27.5625,696800,28.1875,28.0625,23.000051498413086
07-07-1997,27.0,28.5,1180500,28.625,27.125,22.23167610168457
08-07-1997,27.125,27.25,595000,27.6875,27.6875,22.692707061767578
09-07-1997,26.375,27.6875,958000,27.6875,26.625,21.82188606262207
10-07-1997,25.125,26.25,1069200,26.3125,25.5,20.899826049804688
11-07-1997,25.375,25.625,674600,26.125,25.9375,21.25840187072754
14-07-1997,25.4375,26.1875,471200,26.25,25.6875,21.053503036499023
15-07-1997,25.0,25.3125,513000,25.5625,25.4375,20.848604202270508
16-07-1997,23.75,25.5625,899600,25.5625,23.8125,19.516759872436523
17-07-1997,23.9375,24.0,1286200,26.25,26.0625,21.36085319519043
18-07-1997,25.3125,26.125,346200,26.5,25.875,21.20718002319336
21-07-1997,25.0,25.8125,216600,25.8125,25.3125,20.746158599853516
22-07-1997,25.125,25.125,351200,25.875,25.625,21.002283096313477
23-07-1997,25.0,25.625,507100,26.125,25.0,20.49002456665039
24-07-1997,24.25,25.0,412800,25.75,24.625,20.182666778564453
25-07-1997,24.1875,24.875,253000,25.0,24.625,20.182666778564453
28-07-1997,24.375,24.875,953700,25.4375,25.25,20.694927215576172
29-07-1997,25.5,25.5,1028100,26.6875,26.6875,21.873106002807617
30-07-1997,26.6875,26.8125,801700,27.9375,27.75,22.743928909301758
31-07-1997,26.6875,27.875,458400,28.0,26.8125,21.975553512573242
01-08-1997,26.25,26.3125,250100,27.0,26.625,21.82188606262207
04-08-1997,26.25,26.375,629700,27.875,27.625,22.641481399536133
05-08-1997,26.5,28.125,1157400,28.4375,27.0625,22.180452346801758
06-08-1997,26.25,27.0625,350500,27.125,26.5,21.719425201416016
07-08-1997,25.75,26.5,456200,26.6875,25.75,21.10472869873047
08-08-1997,24.75,25.5,576100,25.6875,25.25,20.694927215576172
11-08-1997,24.5,25.375,370400,25.375,24.75,20.285133361816406
12-08-1997,24.3125,25.0,910300,25.4375,24.3125,19.92654800415039
13-08-1997,23.8125,24.5,416500,25.1875,24.375,19.977785110473633
14-08-1997,23.9375,24.625,309000,24.75,24.0,19.670425415039062
15-08-1997,22.875,24.0,1385300,24.0,23.0625,18.90204620361328
18-08-1997,22.9375,23.5625,551500,23.6875,23.5,19.260623931884766
19-08-1997,23.375,23.375,380800,24.25,24.25,19.875333786010742
20-08-1997,24.6875,24.875,621500,25.625,25.625,21.002283096313477
21-08-1997,24.5,25.375,479600,25.5625,24.75,20.285133361816406
22-08-1997,24.0,24.125,408100,24.625,24.5,20.080230712890625
25-08-1997,24.1875,25.0,230200,25.0625,24.3125,19.92654800415039
26-08-1997,24.125,24.25,296300,24.9375,24.6875,20.233903884887695
27-08-1997,24.25,24.9375,619500,25.0,24.5,20.080230712890625
28-08-1997,24.375,24.5,492400,25.375,25.3125,20.746158599853516
29-08-1997,25.25,25.3125,686100,26.875,26.25,21.514530181884766
02-09-1997,25.5,26.375,414700,26.4375,26.25,21.514530181884766
03-09-1997,26.0,26.25,265000,26.375,26.0625,21.36085319519043
04-09-1997,25.5,26.0,237400,26.3125,25.75,21.10472869873047
05-09-1997,25.5625,26.25,151100,26.4375,25.875,21.20718002319336
08-09-1997,25.3125,25.75,91200,26.0,25.375,20.797374725341797
09-09-1997,24.625,25.25,318400,25.5,24.875,20.387575149536133
10-09-1997,24.1875,24.875,365900,24.875,24.25,19.875333786010742
11-09-1997,24.0,24.0,721200,24.75,24.25,19.875333786010742
12-09-1997,24.0,24.375,234000,24.625,24.4375,20.029003143310547
15-09-1997,24.5,24.6875,855800,25.875,25.1875,20.64370346069336
16-09-1997,25.25,25.625,384100,25.9375,25.5,20.899826049804688
17-09-1997,25.625,25.75,922000,26.4375,26.4375,21.668210983276367
18-09-1997,26.0,26.8125,1183200,27.0625,26.0625,21.36085319519043
19-09-1997,25.4375,25.875,430300,26.6875,26.625,21.82188606262207
22-09-1997,26.125,26.5,754400,27.75,27.625,22.641481399536133
23-09-1997,26.875,27.5625,507200,27.625,27.3125,22.385356903076172
24-09-1997,26.0,27.0,827400,27.0,26.125,21.412080764770508
25-09-1997,24.875,25.875,1051200,26.25,25.3125,20.746158599853516
26-09-1997,25.9375,26.75,1082500,27.0,26.125,21.412080764770508
29-09-1997,26.0,26.0,406300,26.875,26.25,21.514530181884766
30-09-1997,26.0,26.3125,276700,26.3125,26.1875,21.46331024169922
01-10-1997,26.625,27.375,1058000,27.5,27.0,22.129228591918945
02-10-1997,26.625,27.0,486200,27.125,26.625,21.82188606262207
03-10-1997,26.25,26.625,904600,27.125,26.5,21.719425201416016
06-10-1997,26.0,26.5,451000,26.8125,26.625,21.82188606262207
07-10-1997,25.875,26.5,418800,26.5,26.1875,21.46331024169922
08-10-1997,25.3125,25.9375,444200,25.9375,25.4375,20.848604202270508
09-10-1997,25.0,25.1875,337600,26.125,26.0,21.30962562561035
10-10-1997,25.625,25.75,268400,26.4375,26.0,21.30962562561035
13-10-1997,26.0,26.375,233300,26.5,26.25,21.514530181884766
14-10-1997,25.75,26.25,230300,26.375,26.0625,21.36085319519043
15-10-1997,25.5,25.8125,223500,26.0625,25.6875,21.053503036499023
16-10-1997,24.875,25.9375,319300,26.0,25.125,20.592479705810547
17-10-1997,24.5,25.25,236200,25.25,24.8125,20.336345672607422
20-10-1997,24.25,24.5625,153100,24.75,24.6875,20.233903884887695
21-10-1997,24.75,24.8125,306500,25.625,25.4375,20.848604202270508
22-10-1997,25.0,25.4375,255200,25.9375,25.9375,21.25840187072754
23-10-1997,24.75,24.75,626800,26.5,26.125,21.412080764770508
24-10-1997,26.5,27.0,814000,27.25,26.875,22.026777267456055
27-10-1997,24.5,26.0625,395900,26.25,24.5,20.080230712890625
28-10-1997,22.8125,23.125,1014000,25.625,25.5,20.899826049804688
29-10-1997,25.125,25.75,612200,26.25,25.25,20.694927215576172
30-10-1997,23.875,23.875,405100,25.25,25.125,20.592479705810547
31-10-1997,25.3125,25.3125,461600,26.4375,26.0,21.30962562561035
03-11-1997,26.5625,26.6875,607400,27.25,27.25,22.334129333496094
04-11-1997,26.75,27.875,1999800,28.1875,28.0,22.948837280273438
05-11-1997,27.1875,28.0,704900,28.25,28.1875,23.102502822875977
06-11-1997,27.0625,28.1875,310200,28.1875,27.5625,22.590259552001953
07-11-1997,26.375,26.6875,186600,27.0,26.8125,21.975553512573242
10-11-1997,26.3125,27.1875,172600,27.4375,26.375,21.616975784301758
11-11-1997,25.75,26.3125,156900,26.6875,25.875,21.20718002319336
12-11-1997,25.1875,25.5,152700,25.9375,25.5,20.899826049804688
13-11-1997,25.375,25.5,411000,27.1875,27.125,22.23167610168457
14-11-1997,27.0,27.0,277200,27.625,27.5625,22.590259552001953
17-11-1997,27.5,28.0625,400100,28.25,27.5,22.539033889770508
18-11-1997,27.3125,28.0,452300,28.0,27.625,22.641481399536133
19-11-1997,27.5,27.625,488800,28.875,28.375,23.25618553161621
20-11-1997,28.5,28.5,792400,29.75,28.75,23.56353187561035
21-11-1997,27.75,29.0,225500,29.1875,28.3125,23.2049617767334
24-11-1997,26.9375,27.75,240400,28.0,27.375,22.436573028564453
25-11-1997,26.625,27.125,175500,27.4375,27.375,22.436573028564453
26-11-1997,26.875,27.625,105700,27.75,27.25,22.334129333496094
28-11-1997,26.9375,27.0,73900,27.125,27.0,22.129228591918945
01-12-1997,27.25,27.25,230900,28.1875,28.0,22.948837280273438
02-12-1997,27.5,28.0,105100,28.1875,27.5625,22.590259552001953
03-12-1997,27.125,27.3125,302900,27.4375,27.125,22.23167610168457
04-12-1997,27.0,27.3125,300700,27.4375,27.25,22.334129333496094
05-12-1997,27.0,27.0,108600,27.75,27.5625,22.590259552001953
08-12-1997,28.1875,28.5,282600,28.75,28.25,23.153728485107422
09-12-1997,27.375,28.25,210500,28.3125,27.5,22.539033889770508
10-12-1997,26.125,26.25,349100,27.375,27.1875,22.282899856567383
11-12-1997,25.5,26.9375,520200,26.9375,26.1875,21.46331024169922
12-12-1997,25.625,26.375,244300,26.375,26.0,21.30962562561035
15-12-1997,25.75,25.75,266800,26.5,26.5,21.719425201416016
16-12-1997,24.875,26.4375,583200,26.5,25.0625,20.541250228881836
17-12-1997,24.625,25.5,381200,25.6875,24.875,20.387575149536133
18-12-1997,24.125,24.875,191900,24.9375,24.5,20.080230712890625
19-12-1997,23.5,24.0,351000,24.0,24.0,19.670425415039062
22-12-1997,23.25,24.5,403500,24.625,23.4375,19.20940589904785
23-12-1997,21.875,23.3125,440200,23.5625,22.3125,18.287343978881836
24-12-1997,22.25,22.5,192100,23.0,22.8125,18.697147369384766
26-12-1997,22.3125,22.75,274700,22.75,22.625,18.54346466064453
29-12-1997,21.75,22.625,909500,22.6875,21.9375,17.980005264282227
